0, 0, 16, 36, -1, -1, -1, -1
1, 0.01169, 16, 36, -1, -1, -1, -1
2, 0.008767, 412, 1400, -1, -1, -1, -1
3, 0.302741, 2230, 11109, 14341.7, 16.7141, 0, -1
7, 0.08566, 1386, 6686, 245.44, 8.09886, -1, -1
6, 0.186483, 61663, 321214, 245.44, 5.07215, -1, -1
7, 1.29654, 25684, 137868, 24.4403, 4.09919, -1, -1
8, 1.02792, 25684, 137139, 21.8728, 3.92871, -1, -1
9, 0.196677, 25684, 137139, 16.5565, 3.75272, -1, -1
6, 0.117927, 42323, 219040, 16.5565, 3.885, -1, -1
7, 0.827121, 27625, 148159, 8.39599, 3.71895, -1, -1
8, 0.673204, 27625, 147881, 8.32784, 3.66506, -1, -1
9, 0.184828, 27625, 147881, 7.07482, 3.5906, -1, -1
7, 0.281823, 26711, 142923, 7.07482, 3.58373, -1, -1
7, 0.303244, 17601, 91407, 7.99951, 4.01355, -1, -1
8, 0.416667, 17601, 90598, 7.9504, 3.84777, -1, -1
7, 0.069298, 16844, 86340, 7.99741, 3.88312, -1, -1
8, 0.302135, 16844, 86193, 7.9504, 3.85527, -1, -1
7, 0.042109, 16787, 85879, 7.9504, 3.8587, -1, -1
8, 0.260702, 16787, 85862, 7.9504, 3.85548, -1, -1
7, 0.037302, 16784, 85844, 7.9504, 3.85579, -1, -1
8, 0.262113, 16784, 85843, 7.9504, 3.8555, -1, -1
4, 6.64835, 16784, 85843, 7.9504, 3.8555, -1, -1
5, 0.352729, 11907, 60316, 7.9504, 3.85486, -1, -1
-1, 7.32428, 11907, 60316, 7.9504, 3.85486, 0, 236
